bat_team,code
Kolkata Knight Riders,0
Chennai Super Kings,1
Rajasthan Royals,2
Mumbai Indians,3
Deccan Chargers,4
Kings XI Punjab,5
Royal Challengers Bangalore,6
Delhi Daredevils,7
Kochi Tuskers Kerala,8
Pune Warriors,9
Sunrisers Hyderabad,10
Rising Pune Supergiants,11
Gujarat Lions,12
Rising Pune Supergiant,13
